Gene	ZT2-Rep1	ZT6-Rep1	ZT10-Rep1	ZT14-Rep1	ZT18-Rep1	ZT22-Rep1	ZT2-Rep2	ZT6-Rep2	ZT10-Rep2	ZT14-Rep2	ZT18-Rep2	ZT22-Rep2	ZT2-Rep3	ZT6-Rep3	ZT10-Rep3	ZT14-Rep3	ZT18-Rep3	ZT22-Rep3
AT1G69510	72.7722	92.3057	106.601	138.615	131.172	163.579	96.6987	95.721	101.434	105.244	129.531	155.75	104.195	109.636	101.876	139.052	127.088	146.347
AT1G63050	13.6307	12.2247	13.7758	11.5341	12.4134	6.85999	13.7684	12.6434	13.9387	12.3643	12.5131	9.51917	14.8002	12.2871	13.7247	11.5504	11.7229	10.1155
AT1G64000	2.13333	1.40294	1.82351	3.29518	2.90105	2.58593	1.07568	2.11185	1.71028	2.73085	2.88287	1.68992	2.66152	2.92589	3.07293	2.99303	2.99942	1.66653
AT1G63055	0	3.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.175552	0	0	0
AT1G63057	0	0.399881	0.46553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G47360	6.01126	3.92825	5.10725	4.10116	6.88389	4.57238	3.63784	5.95615	5.03014	7.70167	6.14365	5.85275	5.71238	5.26828	6.06926	6.21522	4.58034	4.38944
AT1G11620	0	0	0.120202	0	0	0	0	0	0.145196	0	0	0	0	0	0	0	0	0
AT3G05550	1.10859	3.19293	2.60703	3.05107	1.81069	5.39319	1.22141	3.25616	4.23096	6.18336	4.34099	2.89936	5.46934	0	3.24817	4.4771	2.66863	3.97904
AT1G27000	29.4387	40.3441	44.2614	41.939	60.8174	56.724	43.3113	41.8081	40.2063	49.0972	57.2681	54.1395	46.4205	42.1115	42.5629	45.0905	55.7366	56.0182
AT5G13350	0	0.117823	0.0642421	0	0	0	0	0.0601145	0	0	0	0	0	0.134862	0	0	0	0
AT4G03723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33796	0	0
AT3G60090	0	0.294093	0	0	0	0.285775	0	0	0	0	0	0	0	0	0	0	0	0.292172
AT1G27008	0	0	0	0	0	1.01574	0	0	0	0	0	0	0	1.23823	0	0	0	0
AT4G03728	0	0	0	0	0	0	0	0	0	0.443257	0	0	0	0	0	0	0	0
AT2G04270	16.9897	17.5603	15.0691	16.7466	15.3898	21.1349	18.7317	17.6898	13.8781	13.7061	15.3117	21.1144	15.8305	15.6314	15.7383	15.3174	14.9999	19.2474
AT2G38960	4.39974	6.07573	6.76087	6.72738	12.5165	10.3295	5.94675	7.0132	7.41446	7.24058	11.476	10.3925	5.85516	6.83017	8.28908	7.6328	11.3609	10.1365
AT3G31068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G02200	1.00757	2.21343	1.58466	2.42543	3.69712	2.77875	1.0547	1.45207	1.90376	1.24982	4.23737	1.97637	1.0225	3.64866	2.44837	1.25065	3.51138	2.35846
AT5G53860	44.6558	51.4659	56.0298	64.4906	64.5349	65.8821	62.6274	52.6822	56.6256	60.4851	66.6904	68.9776	54.909	47.959	57.1885	65.2283	63.6534	66.2301
AT1G77950	0	2.84E-10	0	0	0	0	0	0	0	0	0.113203	0	0	0.220037	0	0	0	0.103567
AT1G11190	2.87339	3.79086	4.48544	1.75756	2.85715	1.54127	1.85562	4.0439	3.15117	1.71819	0.861253	1.07688	3.83212	2.72703	4.42639	0.545691	0.803955	1.28314
