Gene	control.Rep1	control.Rep2	control.Rep3	control.Rep4	heat.Rep1	heat.Rep2	heat.Rep3	heat.Rep4	drought.Rep1	drought.Rep2	drought.Rep3	drought.Rep4
AT1G67856	-1.6463518	-1.8000555	-3.0818	-1.6732016	0.41134357	0.1281209	0.5879302	0	-1.2811036	-1.2547455	-0.15543795	-0.8900032
AT2G44840	-0.7808399	-2.6826434	-2.211382	-1.3107662	1.2595558	0.7544508	1.760952	0.07033157	-0.59692	-1.7404747	1.2297297	-0.040157318
AT2G34600	-3.0298548	-4.357976	-4.2223053	-3.120902	-1.6009216	-0.23745108	2.5822515	1.4689817	-1.2645378	-0.5322814	2.2331553	1.6201591
AT4G35190	-0.12052441	-0.5198145	-1.7366047	-0.3147545	0.5954585	0.43611145	0.29027843	1.6590123	-1.7816	-2.0840397	-1.0540009	-1.2688503
AT1G33760	0	-3.8456297	-2.3381963	-2.356824	2.234624	2.055213	3.8429298	2.5323067	0.17725086	-1.3325081	2.2770758	-1.1088352
AT4G03320	-3.0117822	-3.1543136	-3.0215364	-3.2258296	0.21908092	0.2104969	0.17224312	0	-3.6037798	-2.9609528	-3.3289642	-3.0714312
AT3G46770	-3.3640842	-2.4646044	-3.653798	-2.138958	0.5291605	0.19975662	0	0.13539219	-3.635604	-3.861413	-3.0315762	-1.456758
AT2G47560	-2.699016	-3.0729408	-2.6637993	-2.5667024	1.9822779	1.7851963	1.6509323	0.77820015	-2.8823624	-3.2855139	-4.0122824	-3.888249
AT5G52020	-3.3508344	-2.301827	-3.6139503	-2.1707654	-2.9410024	0.9708619	2.8399615	2.7465901	-3.6477857	-3.977921	1.4786482	1.0766935
AT1G74870	-2.6844153	-2.099977	-2.68783	-3.2265263	0.78014565	0.6437998	0.29668522	0	-3.5876746	-2.9350634	-3.476098	-3.593028
AT5G57560	-1.1847897	-3.121436	-2.4074116	-1.4119568	0.9932442	0.41936207	1.7529392	1.0721474	1.0838327	1.3217278	2.563407	1.4877357
AT4G30430	-1.2517815	-3.0430307	-2.0993733	-2.818575	1.3714075	0.9254856	2.2480335	1.6706195	-1.4853215	-1.621006	-0.42633057	-1.5437641
AT5G15250	-1.8965034	-0.9595518	-2.1347637	-0.60606956	0	0.41759062	0.14322233	0.5962572	-2.208643	-2.271595	-0.32510424	-1.757554
AT5G05420	-2.5622363	-3.1263056	-2.9391966	-3.3027143	0.40484524	0.31078053	0.36462116	0.14093399	-2.8098779	-3.1156116	-2.7412744	-2.652977
AT5G37670	-0.12668514	-0.28128624	-0.053120613	0	-0.1958971	-0.57341194	-1.1328874	-1.8984652	0.2845888	-0.18613815	0.2124424	-0.033740997
AT4G34410	-1.3815246	-3.630321	-2.982903	-2.120997	0.5665579	0.85968876	3.636776	1.234808	-1.9626231	-3.559454	2.374177	-0.2741251
ATMG00640	-3.0858965	-3.2518291	-2.9251013	-2.7514305	0.41362286	0.16265678	0.3403759	0.47939777	-2.7851524	-3.045886	-2.4732475	-2.6043205
AT5G47160	-1.2181888	-2.0202503	-1.6597524	-2.7291126	0.96919155	0.7594619	0	0.07916117	-1.6048393	-0.22455645	-2.369493	-1.5680485
AT1G33102	-1.931665	-3.3849125	-4.632333	-2.0091763	0.003911972	0.009372234	0.4405961	0.12328911	-1.7833076	-1.7408142	-1.8959293	-1.1241002
AT4G10200	-1.9547777	-1.0437307	-2.2596817	-0.7913351	1.1544847	0.8189759	0.5472245	0	-2.2926474	-2.4014416	-1.5606251	-1.7027922
AT1G29290	-1.88451	-3.3250203	-2.659389	-2.2339945	1.9266706	1.9378114	2.0430999	1.3615689	0.18616056	-0.4326806	0.73251057	0.89768267
AT4G37770	-2.3073678	-2.8729968	-1.5031896	-2.2221112	2.4904113	2.0146956	2.0959249	2.4156747	-2.067552	-2.3028326	-2.0324664	0.98045635
AT2G07768	-3.0857024	-3.6216435	-2.894968	-3.2307267	0.18911457	0.1003294	0.12286949	0.16951466	-3.190629	-3.0507078	-2.5855784	-3.0388894
AT1G27730	-0.21960735	-2.5438223	-2.2347984	-1.5422211	2.0637302	1.437602	2.1826048	0.9156523	-0.54884624	-1.4924173	0.86612225	0.05773449
AT3G50940	-1.5500884	-3.0979133	-2.1959038	-1.6734304	0.46456146	0.37894344	0.6707516	0.69559145	-0.94022465	-1.2618146	-0.7181401	-0.9509425
AT4G21930	-2.2109284	-2.7290707	-2.266169	-1.697073	0.39627743	0.17271233	0.39478588	0.46450996	-1.1349916	-2.006672	-2.0840669	-1.9839096
AT3G23240	-1.6560154	-2.4157443	-3.160904	-2.0913715	0.088938236	0.41978502	1.008976	0.24249268	-0.49023294	-1.1828947	0.075572014	-0.56755924
AT5G05490	-3.226252	-2.2183619	-0.26347017	-1.8468919	0.8946681	0.41875505	0.39303446	0	-2.5891929	-2.5689616	-2.357059	-1.9212842
AT1G06180	-2.2673087	-2.0661106	-2.2177367	-1.9131784	0	0.19661617	0.27224827	0.4243183	-1.6137028	-1.2610722	-1.6244678	-1.3663769
AT4G33905	-2.0994782	-2.6729612	-1.7408686	-2.3016639	-0.39255667	-0.31392574	0.76981497	0.841208	-0.8101754	-0.981637	-0.39941406	0.77377367
AT1G02400	-2.5686045	-2.805829	-2.685329	-1.5530767	1.824153	1.5258455	2.6243162	2.8202858	-2.976667	-3.207499	-1.0883951	0.15682316
AT4G21926	-2.1839447	-3.8488913	-3.2234263	-1.9781847	0.44733953	0.56488085	0.8013644	1.001224	-1.0886965	-1.6619854	-1.410758	-1.5249352
